epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5017,1.53074,1.99022,1.21359,0.91509,0.49351,0.5617,0.32926,1.44099,1.44383,1.22524,0.000474428,0.000474428,0.000474428
2,121.509,1.43995,1.2338,1.17711,0.88163,0.50219,0.55152,0.32395,1.43508,1.23089,1.21979,0.000941349,0.000941349,0.000941349
3,180.229,1.42262,1.09523,1.18203,0.92733,0.50121,0.57768,0.34281,1.40639,1.00186,1.20398,0.00139884,0.00139884,0.00139884
4,237.382,1.40789,0.99526,1.16008,0.90087,0.48988,0.56653,0.34191,1.43212,1.04095,1.21543,0.00138656,0.00138656,0.00138656
5,293.01,1.39242,0.96191,1.16916,0.92014,0.52129,0.58725,0.35909,1.36346,0.88328,1.18514,0.00137241,0.00137241,0.00137241
6,346.993,1.38883,0.94738,1.17046,0.92004,0.54735,0.59885,0.36873,1.34444,0.84551,1.18016,0.00135826,0.00135826,0.00135826
7,403.704,1.36057,0.89671,1.15254,0.92156,0.5419,0.59535,0.34553,1.37892,0.86176,1.19117,0.00134412,0.00134412,0.00134412
8,458.115,1.3489,0.8721,1.14609,0.92876,0.55386,0.60367,0.37406,1.32924,0.79747,1.17513,0.00132997,0.00132997,0.00132997
9,512.349,1.34937,0.86645,1.14082,0.92138,0.53578,0.59411,0.35542,1.39145,0.83983,1.20368,0.00131582,0.00131582,0.00131582
10,565.79,1.32955,0.83997,1.13241,0.93887,0.54574,0.60439,0.37767,1.31823,0.78404,1.16855,0.00130168,0.00130168,0.00130168
11,620.259,1.32756,0.83398,1.1336,0.92707,0.56776,0.61363,0.38475,1.30247,0.76713,1.15833,0.00128753,0.00128753,0.00128753
12,674.76,1.31589,0.81488,1.13057,0.9356,0.5647,0.61575,0.3862,1.3098,0.74722,1.16669,0.00127338,0.00127338,0.00127338
13,728.97,1.296,0.79862,1.12377,0.92981,0.55669,0.60769,0.38127,1.31579,0.77294,1.17151,0.00125923,0.00125923,0.00125923
14,782.63,1.31008,0.80743,1.1286,0.9409,0.55874,0.60881,0.38929,1.29144,0.75096,1.15903,0.00124509,0.00124509,0.00124509
15,836.529,1.29558,0.79288,1.12427,0.932,0.56616,0.61079,0.38739,1.31419,0.7459,1.16153,0.00123094,0.00123094,0.00123094
16,890.891,1.2944,0.77853,1.1241,0.93064,0.57374,0.61697,0.3918,1.29042,0.72822,1.15319,0.00121679,0.00121679,0.00121679
17,944.159,1.30085,0.79087,1.12347,0.93553,0.56466,0.61461,0.38808,1.29553,0.73543,1.15474,0.00120265,0.00120265,0.00120265
18,998.597,1.2891,0.77128,1.1187,0.94306,0.56729,0.61535,0.39228,1.29042,0.71557,1.16124,0.0011885,0.0011885,0.0011885
19,1053.45,1.26608,0.75906,1.11174,0.93668,0.56281,0.61571,0.39351,1.2763,0.70618,1.15192,0.00117435,0.00117435,0.00117435
20,1108.35,1.27652,0.75317,1.10662,0.93871,0.56611,0.6221,0.40004,1.26054,0.69674,1.13612,0.00116021,0.00116021,0.00116021
21,1163.27,1.25867,0.73566,1.10292,0.94308,0.56688,0.61724,0.39584,1.26816,0.70315,1.14238,0.00114606,0.00114606,0.00114606
22,1218.61,1.27705,0.75737,1.10782,0.94379,0.56507,0.62412,0.39918,1.27191,0.69718,1.14879,0.00113191,0.00113191,0.00113191
23,1272.85,1.25426,0.73578,1.09935,0.94207,0.56779,0.6208,0.39479,1.2735,0.68344,1.13902,0.00111776,0.00111776,0.00111776
24,1327.69,1.27436,0.74351,1.10553,0.94694,0.56449,0.62144,0.401,1.25436,0.68624,1.13567,0.00110362,0.00110362,0.00110362
25,1382.7,1.25792,0.73019,1.10343,0.94566,0.57652,0.62744,0.39809,1.28533,0.68234,1.14065,0.00108947,0.00108947,0.00108947
26,1438.46,1.25306,0.72184,1.09485,0.93542,0.57597,0.62358,0.40038,1.26342,0.68593,1.13812,0.00107532,0.00107532,0.00107532
27,1493.8,1.24743,0.72676,1.10044,0.9427,0.57184,0.62558,0.395,1.28082,0.67608,1.14238,0.00106118,0.00106118,0.00106118
